KEY_ID,Tên Biến Hóa,Gốc,Biến,Động Hào,Lời Khuyên
G14-B1,Đại Hữu biến Càn (Động 2),14,1,2,"Bên bán đối địch với bên mua, thực lực bên mua rất mạnh, nhưng bên bán cũng tỏ ra không kém, mua bán phải cẩn thận, không được mù quáng."
G14-B34,Đại Hữu biến Đại Tráng (Động 3),14,34,3,"Bên bán đối địch với bên mua, thực lực bên mua rất mạnh, nhưng bên bán cũng tỏ ra không kém, mua bán phải cẩn thận, không được mù quáng."
G14-B50,Đại Hữu biến Đỉnh (Động 4),14,50,4,Chú ý mua vào nhưng không được chạy theo quá mức.
G14-B30,Đại Hữu biến Ly (Động 5),14,30,5,"Thấy thấp thì mua, thấy lợi thì bán, không nên tham lam, cảnh giác vì tiềm ẩn rủi ro, thị trường có biến đổi bất ngờ dẫn đến bị kẹt."
G14-B38,Đại Hữu biến Khuê (Động 6),14,38,6,"Giá tăng đột biến, nhưng sức tăng yếu, có thể nắm chắc thời cơ bán ra ở giá cao, không có gì nguy hiểm, nhưng cũng không nên chạy theo, chú ý nắm chắc thời cơ bán ra, cảnh giác tình hình đột biến. Tuỳ cơ điều chỉnh phương thức để khỏi bị động."
G34-B11,Đại Tráng biến Thái (Động 1),34,11,1,"Thị trường vô cùng tấp nập, trước khi nhập cuộc nên điều chỉnh phương án hành động, nếu cảm thấy không tốt thì không nên nhẹ dạ nhập cuộc. Mở đầu xuất hiện tình trạng mua bán tranh chấp hỗn loạn khác thường."
G34-B43,Đại Tráng biến Quải (Động 2),34,43,2,"Giá cả tăng dữ dội, dựa theo xu thế mua vào nhưng không thể đeo đuổi đến cùng, có triển vọng thu lợi lớn."
G34-B14,Đại Tráng biến Đại Hữu (Động 3),34,14,3,"Bên bán đối địch với bên mua, thực lực bên mua rất mạnh, nhưng bên bán cũng tỏ ra không kém, mua bán phải cẩn thận, không được mù quáng."
G34-B32,Đại Tráng biến Hằng (Động 4),34,32,4,"Nhập cuộc bị kẹt, lại chưa muốn bán ra, chẳng có cách nào khác."
G34-B55,Đại Tráng biến Phong (Động 5),34,55,5,"Bên mua kéo giá lên, bên bán nhập cuộc nhưng giá vẫn không giảm xuống, nhập cuộc không dễ cầu tài, tạm thời còn bị kẹt, nhưng không có gì nguy hiểm, có thể giữ hàng lại chờ thời."
G34-B54,Đại Tráng biến Quy Muội (Động 6),34,54,6,"Khách hàng nhỏ bận rộn, bề ngoài thị trường tấp nập, lượng giao dịch nhiều nhưng thực ra lợi nhuận không đáng kể."
G9-B1,Tiểu Súc biến Càn (Động 1),9,1,1,"Mua vào ở thời điểm thích hợp sẽ không đến nỗi bi quan, cố gắng phấn đấu, thời cơ đến sẽ đạt kết quả mỹ mãn."
G9-B26,Tiểu Súc biến Đại Súc (Động 2),9,26,2,"Có thu nhập, giá đồng đều, nhưng có xu thế tăng lên, nên mua bán nhanh, về cuối mua vào là chính. chú ý thấy lợi phải kịp thời bán ra."
G9-B5,Tiểu Súc biến Nhu (Động 3),9,5,3,"Có xu thế tăng lên, thấy giá thấp mua vào là chính, thấy lợi thì bán ra, không nên mua bán vòng vo, làm như thế thực ra là ngược lại xu thế, rất dễ bị kẹt. Do đó hôm nay thấy thấp thì mua vào, không có rủi ro."
G9-B57,Tiểu Súc biến Tốn (Động 4),9,57,4,"Xu thế không rõ, trong lòng mê muội, có khách hàng lớn nhập cuộc mua vào, giá cả tăng lên. Không đủ lòng tin để nhập cuộc, cho nên tốt nhất là đứng ngoài quan sát."
G9-B37,Tiểu Súc biến Gia nhân (Động 5),9,37,5,"Bên mua hoành hành, bên bán áp đảo trở lại, bên mua hơi thất thế, nhưng thị trường người mua nhiều hơn người bán, về cuối giá cả vẫn lên cao."
G9-B61,Tiểu Súc biến Trung Phu (Động 6),9,61,6,"Giá dao động lên xuống, thực lực bên mua lớn hơn, do đó mua bán nhanh là chính, chú ý mở rộng lợi nhuận."
G5-B43,Nhu biến Quải (Động 1),5,43,1,"Chứng phiếu bị kẹt được bán ra, thấy thấp thì mua vào, thấy lợi thì bán ra, không nên giữ lại."
G5-B11,Nhu biến Thái (Động 2),5,11,2,"Tình hình có đột biến, nhập cuộc dễ bị kẹt. Mua bán gặp trở ngại, vào sàn phải cẩn thận. Về cuối giá cả có dấu hiệu tăng lên."
G5-B9,Nhu biến Tiểu Súc (Động 3),5,9,3,"Sau đây giá cả có triển vọng lên cao, mua vào sàn phải cẩn thận."
G5-B48,Nhu biến Tỉnh (Động 4),5,48,4,"Không có rủi ro, cầu tài có triển vọng, áp lực bên mua khá lớn, lượng giao dịch không nên nhiều."
G5-B63,Nhu biến Ký Tế (Động 5),5,63,5,"Nhập cuộc tinh thần hăng hái, sức mua thị trường khá lớn, về cuối giá cả tăng lên, thuận theo xu thế mà vào sàn sẽ có thu nhập lớn. Cẩn thận đề phòng có sự phá hoại nhỏ."
G5-B60,Nhu biến Tiết (Động 6),5,60,6,"Thị trường tuy tấp nập, nhưng có vẻ hỗn loạn. Sức mua của thị trường khá lớn, giá cả dao động nhiều, mọi người đều không chú ý, xu thế không rõ, giao dịch phải cẩn thận, cần kiên nhẫn chờ đợi."
G26-B14,Đại Súc biến Đại Hữu (Động 1),26,14,1,"Có chính sách ảnh hưởng đến tình hình, thấy thấp mua vào là đúng sách lược, nhưng lợi nhuận không lớn."
G26-B9,Đại Súc biến Tiểu Súc (Động 2),26,9,2,"Mua vào ở thời điểm thích hợp sẽ không đến nỗi bi quan, cố gắng phấn đấu, thời cơ đến sẽ đạt kết quả mỹ mãn."
G26-B11,Đại Súc biến Thái (Động 3),26,11,3,"Bắt đầu vào cuộc cần bình tĩnh quan sát những người chung quanh và tìm sự đồng tình của những khách hàng lớn, nhất định không được dựa vào cảm giác, nhập cuộc dễ bị kẹt, tránh nóng vội, tiến vững chắc từng bước."
G26-B18,Đại Súc biến Cổ (Động 4),26,18,4,"Thống nhất ý kiến với bạn, nhập cuộc không gặp trở ngại gì, không có rủi ro, cầu tài là được."
G26-B22,Đại Súc biến Bí (Bôn) (Động 5),26,22,5,"Gặp may mắn, thắng lợi bất ngờ, đó là nhờ trời cho."
G26-B41,Đại Súc biến Tổn (Động 6),26,41,6,"Hai bên mua bán giằng co nhau, cuối cùng giá cả vẫn ở trạng thái dao động, nhập cuộc nên cẩn thận."
G11-B34,Thái biến Đại Tráng (Động 1),11,34,1,"Nhập cuộc mua bán nhất định có lợi, đây là lúc thời vận tốt, không được manh động, phải làm ăn chính tắc."
G11-B5,Thái biến Nhu (Động 2),11,5,2,"Tìm thời điểm thích hợp mua vào, hôm nay chưa lợi lớn, có thể giữ lại tuy trong lòng vẫn lo lắng."
G11-B26,Thái biến Đại Súc (Động 3),11,26,3,"Bên mua nhập cuộc, bên bán chờ đợi thời cơ, cầu tài không dễ, không nên mua vào."
G11-B46,Thái biến Thăng (Động 4),11,46,4,"Không có rủi ro, nắm vững sự biến đổi của thị trường, làm theo phương án của mình, nhập cuộc sẽ có lợi."
G11-B36,Thái biến Minh Di (Động 5),11,36,5,"Mua bán có lo lắng, sau khi bị kẹt nên chờ đợi, tình hình phát triển cuối cùng chuyển đổi rõ rệt, chứng phiếu bị kẹt được giải thoát và còn thu ít lãi."
G11-B19,Thái biến Lâm (Động 6),11,19,6,"Thị trường tấp nập, mua bán thuận lợi, giá cao bán ra, giá thấp mua vào sẽ thu lợi lớn. Trước hết nên chuẩn bị tốt lực lượng của mình để lúc hành động khỏi rối loạn."
G10-B61,Lý biến Trung Phu (Động 1),10,61,1,"Bên mua ra sức giữ giá. Nhập cuộc có thể mua vào, chắc chắn sẽ thu lợi, tuy không lớn lắm. Về cuối bên mua càng có lòng tin, nhưng không được chạy theo mua vào nhiều."
G10-B38,Lý biến Khuê (Động 2),10,38,2,"Thị trường xuất hiện dao động lớn, mua vào có lợi hơn."
G10-B58,Lý biến Đoài (Động 3),10,58,3,"Tinh thần mọi người hăng hái, thị trường có sức hấp dẫn, sức mua khá lớn, giá cả nằm ở mức cao, cầu tài khó khăn, giao dịch phải khống chế số lượng."
G10-B6,Lý biến Tụng (Động 4),10,6,4,"Thấy cao bán ra, thấy thấp mua vào là sách lược hôm nay, vận khí thuận lợi, không có gì nguy hiểm, nhưng cũng không lợi lớn."
G10-B25,Lý biến Vô Vọng (Động 5),10,25,5,"Thị trường tấp nập, tinh thần hăng hái, dựa theo xu thế mà vào sàn có thể thu lợi."
G10-B1,Lý biến Càn (Động 6),10,1,6,"Thấy cao thì bán, thấy thấp thì mua vào không có gì rủi ro, có thể lãi lớn."
G58-B60,Đoài biến Tiết (Động 1),58,60,1,"Sau khi mở sàn, giá cả không ổn định. Không nên nhập cuộc. Về cuối giá cả bị động, giá tăng lên, mua bán phải chú ý nắm chắc, không được làm bừa, thắng lợi rồi thì rút ra."
G58-B54,Đoài biến Quy Muội (Động 2),58,54,2,"Mua bán tranh chấp nhưng cuối cùng không xuất hiện hiện tượng căng thẳng, cạnh tranh có trật tự, tuy có rủi ro nhưng hậu quả bình thường."
G58-B10,Đoài biến Lý (Động 3),58,10,3,"Tinh thần mọi người hăng hái, thị trường có sức hấp dẫn, sức mua khá lớn, giá cả nằm ở mức cao, cầu tài khó khăn, giao dịch phải khống chế số lượng."
G58-B47,Đoài biến Khốn (Động 4),58,47,4,"Không nên nhập cuộc, đây là thời cơ tốt để quan sát sự phát triển của thị trường, tìm hiểu mình kỹ hơn, khiến cho cách nghĩ của mình phù hợp với thị trường thì hành động của bạn sẽ hợp lý, nếu không bạn sẽ là người thất bại, hoặc chỉ là người thành công tạm thời, không phải là người biết cách đầu tư."
G58-B17,Đoài biến Tùy (Động 5),58,17,5,"Không nên vì một lần thất bại đã lo sợ, gọi là ""Một lần rắn cắn, mười năm sợi dây thừng"". Như thế là quá nhạy cảm, nên tăng thêm lòng tin, không sợ thất bại, qua thất bại tổng kết kinh nghiệm để chuẩn bị cho lần giao dịch mới."
G58-B43,Đoài biến Quải (Động 6),58,43,6,"Không nên nhập cuộc, vì tinh thần không ổn định, quá tham lam, vì quá tự tin mà bỏ lỡ cơ hội."
G38-B41,Khuê biến Tổn (Động 1),38,41,1,"Có dấu hiệu bị thua lỗ, nhập cuộc phải cẩn thận, tạm thời nên ngừng giao dịch, chờ thời."
G38-B10,Khuê biến Lý (Động 2),38,10,2,"Thị trường xuất hiện dao động lớn, mua vào có lợi hơn."
G38-B54,Khuê biến Quy Muội (Động 3),38,54,3,"Tham lam quá mức chuyển thắng thành bại. Chứng phiếu bị kẹt, chỉ có bán ra. Về cuối bên mua vào sàn, giá cả tăng lên, chạy theo mua vào phải nắm chắc thời cơ rút lui, tốt nhất là quan sát rồi mới quyết định nên mua hay nên bán."
G38-B64,Khuê biến Vị Tế (Động 4),38,64,4,"Thị trường có hiện tượng đột biến, không thể hành động theo mong muốn chủ quan, cẩn thận đề phòng bị mắc kẹt."
G38-B21,Khuê biến Phệ Hạp (Động 5),38,21,5,"Nhập cuộc gặp biến động bất ngờ, chuốc lấy thất bại. Do đó không nên vào cuộc."
G38-B14,Khuê biến Đại Hữu (Động 6),38,14,6,"Bên mua thao túng, giá cả có triển vọng lên cao, nhưng sức tăng không mạnh, về cuối ở khu vực giá cao có thể bán ra, nhưng nhìn chung toàn thị trường có vẻ tiêu điều."
G54-B19,Quy Muội biến Lâm (Động 1),54,19,1,"Nắm chắc nguyên nhân cơ bản sự phát triển của thị trường, hành động theo xu thế, kịp thời điều chỉnh sách lược, mua bán nhanh không rủi ro mà còn có lợi."
G54-B58,Quy Muội biến Đoài (Động 2),54,58,2,"Tuy giá khá cao nhưng tình hình không có gì biến đổi, cũng không có lực lượng mua mới tham gia vào, bên bán đang chờ đợi, mọi người tỏ ra hoang mang, cuối cùng bên mua không có sức giữ giá, giá cả thấp xuống, nhập cuộc rủi ro khá lớn."
G54-B38,Quy Muội biến Khuê (Động 3),54,38,3,"Tuy đang bị mắc kẹt nhưng bán ra chưa phải là thời cơ. Về cuối giá cả dao động khá lớn. Chờ thời cơ có lợi, kiên định và tin tưởng, không nên bị người khác mê hoặc, nếu không sẽ thất bại lớn hơn."
G54-B40,Quy Muội biến Giải (Động 4),54,40,4,"Giá có biến đổi mới, mọi người hăng hái, chạy theo nhập cuộc, giữa chừng có đột biến, kết quả bị mắc kẹt, trong lòng lo lắng, chẳng được lợi gì."
G54-B51,Quy Muội biến Chấn (Động 5),54,51,5,"Tuy giá biến hóa khác thường, thị trường tiềm ẩn rủi ro lớn, nhưng không nguy hiểm cho bạn, không có gì bất lợi đối với mình, vẫn còn là vận may."
G54-B34,Quy Muội biến Đại Tráng (Động 6),54,34,6,"Khách hàng nhỏ bận rộn, bề ngoài thị trường tấp nập, lượng giao dịch nhiều nhưng thực ra lợi nhuận không đáng kể."
G61-B10,Trung Phu biến Lý (Động 1),61,10,1,"Bên mua ra sức giữ giá. Nhập cuộc có thể mua vào, chắc chắn sẽ thu lợi, tuy không lớn lắm. Về cuối bên mua càng có lòng tin, nhưng không được chạy theo mua vào nhiều."
G61-B41,Trung Phu biến Tổn (Động 2),61,41,2,"Tình hình vẫn dao động ở mức cực đoan, tiềm ẩn rủi ro rất lớn, nhập cuộc phải cẩn thận về số lượng, tìm kiếm cảm giác vào nhanh ra nhanh, bị mắc kẹt phải kịp thời bán ra."
G61-B60,Trung Phu biến Tiết (Động 3),61,60,3,"Nhập cuộc bị mắc kẹt, đành phải bán ra, không được giữ lại. Nên cẩn thận phán đoán xu thế, không được manh động."
G61-B59,Trung Phu biến Hoán (Động 4),61,59,4,"Nhập cuộc bị mắc kẹt vì thời cơ nhập cuộc không tốt. Giá tăng gặp trở ngại, áp lực bên bán khá lớn, trong lòng lo lắng bồn chồn."
G61-B42,Trung Phu biến Ích (Động 5),61,42,5,"Tìm thắng lợi trong sự ổn định. Muốn thắng lợi trong thị trường chứng khoán thì phải trầm tĩnh, ngược lại nếu không nắm chắc xu thế cuối cùng sẽ bị thất bại."
G61-B9,Trung Phu biến Tiểu Súc (Động 6),61,9,6,"Giá dao động lên xuống, thực lực bên mua lớn hơn, do đó mua bán nhanh là chính, chú ý mở rộng lợi nhuận."
G60-B58,Tiết biến Đoài (Động 1),60,58,1,"Mâu thuẫn được hóa giải, thua lỗ được bù đắp, chú ý bán chứng phiếu ra, không nên mua mới, không nên giữ lại."
G60-B19,Tiết biến Lâm (Động 2),60,19,2,"Chủ quan cho rằng mình là cừ nhất, vì tạm thời lãi được một ít mà bước sau bắt đầu thua lỗ. Lòng tham lại nổi lên, càng chuốc lấy bất lợi. Về cuối giá cả hạ xuống, cần đề phòng có khách hàng lớn nhập cuộc mua vào."
G60-B61,Tiết biến Trung Phu (Động 3),60,61,3,"Thị trường tấp nập, lòng người hăng hái, nên mua bán nhanh, vào nhanh ra nhanh sẽ thu lợi lớn, không nên do dự."
G60-B29,Tiết biến Khảm (Động 4),60,29,4,"Thị trường rủi ro rất lớn, xu thế không rõ, lòng người không ổn định, mua bán hỗn chiến, nhập cuộc sẽ bị mắc kẹt. Tốt nhất đứng ngoài."
G60-B3,Tiết biến Truân (Động 5),60,3,5,"Tham lam sẽ thất bại, tính tình không tốt thì không nên nhập cuộc. Thực lực bên mua vừa phải, mua vào phải cẩn thận, không thể làm liều, tuy không rủi ro nhưng cũng không có lợi."
G60-B5,Tiết biến Nhu (Động 6),60,5,6,"Thị trường tuy tấp nập, nhưng có vẻ hỗn loạn. Sức mua của thị trường khá lớn, giá cả dao động nhiều, mọi người đều không chú ý, xu thế không rõ, giao dịch phải cẩn thận, cần kiên nhẫn chờ đợi."
G41-B38,Tổn biến Khuê (Động 1),41,38,1,"Cung lớn hơn cầu, tự nhiên giá hạ xuống, nhưng bên mua thừa cơ thao túng, giá cả xuất hiện trạng thái cực đoan, mua bán có kỹ xảo thì có thể lợi nhiều."
G41-B61,Tổn biến Trung Phu (Động 2),41,61,2,"Có dấu hiệu giá tăng, nhưng áp lực bán cũng khá lớn thế lực hai bên mua bán ngang nhau, giá cả biến động trong biên độ lớn, nhập cuộc phải chú ý nắm chắc thời cơ, nếu không thì khó thắng."
G41-B19,Tổn biến Lâm (Động 3),41,19,3,"Ngoài việc hanh thông, mua bán như ý tiền đồ đầy hy vọng, thuận buồm xuôi gió, còn thu lợi lớn, nhưng không nên vì thế mà chủ quan."
G41-B4,Tổn biến Mông (Động 4),41,4,4,"Tay chân rối loạn đương nhiên không tốt, vừa nhập cuộc thì khẩn trương cao độ, dễ gây nên sai lầm, cầu tài không được, do đó nói tâm thái không ổn định thì cần điều chỉnh, không nên nhập cuộc trong trạng thái nôn nóng."
G41-B27,Tổn biến Di (Động 5),41,27,5,"Có khách hàng mạnh liên kết với nhau để thao túng thị trường, thị trường rất căng thẳng, nên kịp thời điều chỉnh, sớm rút lui, nếu không sẽ có nguy cơ mắc kẹt."
G41-B26,Tổn biến Đại Súc (Động 6),41,26,6,"Thấy thấp mua vào là phương sách đúng đắn, phải cẩn thận đề phòng ý kiến của người khác ảnh hưởng đến tư duy của mình dẫn đến sai lầm, làm đảo lộn kế hoạch, bảo đảm tính độc lập là rất quan trọng."
G19-B54,Lâm biến Quy Muội (Động 1),19,54,1,"Luôn chỉ biết cầu lợi, tình hình thay đổi, cuối cùng chẳng được gì."
G19-B60,Lâm biến Tiết (Động 2),19,60,2,"Sau khi vào cuộc bán ra với giá cao, thấy lợi thì kịp thời bán hết. Thị trường áp lực bán ra khá lớn, giữa chừng có lực lượng mua mới tham gia, giá cả dao động."
G19-B41,Lâm biến Tổn (Động 3),19,41,3,"Ngoài việc hanh thông, mua bán như ý tiền đồ đầy hy vọng, thuận buồm xuôi gió, còn thu lợi lớn, nhưng không nên vì thế mà chủ quan."
G19-B7,Lâm biến Sư (Động 4),19,7,4,"Thị trường hỗn loạn, có khách hàng lớn đang đứng ngoài quan sát, các khách hàng nhỏ nhập cuộc mù quáng, lúc này không nên nhập cuộc."
G19-B24,Lâm biến Phục (Động 5),19,24,5,"Thị trường tấp nập, giao dịch sôi động, vào sàn mua bán sẽ thu được lợi."
G19-B11,Lâm biến Thái (Động 6),19,11,6,"Thị trường tấp nập, mua bán thuận lợi, giá cao bán ra, giá thấp mua vào sẽ thu lợi lớn. Trước hết nên chuẩn bị tốt lực lượng của mình để lúc hành động khỏi rối loạn."
G13-B37,Đồng Nhân biến Gia Nhân (Động 1),13,37,1,"Mọi người hăng hái, nhưng trong hỗn loạn dễ mắc sai lầm, có thể vì đánh giá sai tình hình mà mắc phải sai lầm. Không được xem thường lực lượng bên mua, cầu lợi không được."
G13-B30,Đồng Nhân biến Ly (Động 2),13,30,2,"Không nên thấy sấm thì cho là có mưa, mù quáng chạy theo. Thị trường phát triển có hiện tượng khác thường, không nên nhập cuộc."
G13-B49,Đồng Nhân biến Cách (Động 3),13,49,3,"Vật cực tất phải quay trở lại, giá cả trượt xuống cực điểm, ở giá đáy bên mua sẽ nhập cuộc, chuẩn bị tốt để đón thị trường biến đổi, không được mù quáng chạy theo bán ra, phân phối tốt thực lực của mình, ở giá thích hợp mua thử một ít."
G13-B33,Đồng Nhân biến Độn (Động 4),13,33,4,"Giá cả ở mức cao, dao động ít, lợi nhuận không lớn, không nên nhập cuộc."
G13-B1,Đồng Nhân biến Càn (Động 5),13,1,5,"Tinh thần hăng hái, nhưng không phân tích được xu thế của tình hình, chỉ biết chạy theo, kết quả chuốc lấy thất bại."
G13-B25,Đồng Nhân biến Vô Vọng (Động 6),13,25,6,"Hai bên mua bán tranh nhau, cuối cùng bên mua chủ động, hành động phải cẩn thận."
G49-B63,Cách biến Ký Tế (Động 1),49,63,1,"Thị trường dao động, trường hợp này không được do dự, nên đưa hết quả cảm và sức lực ra mà hành động. Giá cả tuy lên xuống không ổn định, nhưng có thể thu được lợi lớn, không được bỏ lỡ thời cơ."
G49-B55,Cách biến Phong (Động 2),49,55,2,"Giá cả khá cao, hai bên mua bán dần dần phát sinh biến đổi, không thích hợp nhập cuộc."
G49-B13,Cách biến Đồng Nhân (Động 3),49,13,3,"Vật cực tất phải quay trở lại, giá cả trượt xuống cực điểm, ở giá đáy bên mua sẽ nhập cuộc, chuẩn bị tốt để đón thị trường biến đổi, không được mù quáng chạy theo bán ra, phân phối tốt thực lực của mình, ở giá thích hợp mua thử một ít."
G49-B31,Cách biến Hàm (Động 4),49,31,4,"Vận khí không thông, nhập cuộc có rủi ro, không những chẳng được gì mà còn bị mắc kẹt. Tạm thời quan sát. Giá cả dao động, rất khó nắm bắt thời cơ."
G49-B43,Cách biến Quải (Động 5),49,43,5,"Sau khi điều chỉnh, xu thế thị trường rõ dần, lòng người cũng chuyển biến tốt hơn, sức mua bán không ngừng tăng lên, theo xu thế mà hành động thì sẽ thành công."
G49-B17,Cách biến Tùy (Động 6),49,17,6,"Giá cả lên xuống có trật tự, thị trường vận hành ổn định, mua bán nhanh là chính, rủi ro ít, sẽ có lợi."
G30-B22,Ly biến Bí (Bôn) (Động 1),30,22,1,"Không nên vội vàng, tiến hành từng bước, thuận theo xu thế mà làm, cuối cùng sẽ không gặp trắc trở."
G30-B13,Ly biến Đồng nhân (Động 2),30,13,2,"Không nên mua bán nhanh. Gặp cao có thể bán ra, giữ hàng lại có thể thu lợi. Nếu không hứng thú, thiếu lòng tin thì không nên nhập cuộc, trong lòng nôn nóng rất dễ sai lầm."
G30-B55,Ly biến Phong (Động 3),30,55,3,"Thị trường có đột biến, không thể nhập cuộc mù quáng, cẩn thận kẻo bị thua thiệt."
G30-B56,Ly biến Lữ (Động 4),30,56,4,"Nên làm chung hay làm dài hạn, mua vào là chính, không nên mua bán nhanh, tốt nhất không nhập cuộc, nếu không dễ bị mắc kẹt, cầu tài khó khăn."
G30-B14,Ly biến Đại Hữu (Động 5),30,14,5,"Về sau giá thị trường lên cao, do đó khi bắt đầu nhập cuộc nếu mua chứng phiếu mới ở giá thấp thì nhất định thắng lợi."
G30-B21,Ly biến Phệ Hạp (Động 6),30,21,6,"Tâm thần hoảng loạn, bên bán áp đảo tình hình không ổn do dự không quyết đoán, vì vậy không nên nhập cuộc."
G55-B36,Phong biến Minh Di (Động 1),55,36,1,"Tình hình có phát triển, tuy không ổn định lắm nhưng không rủi ro nhiều. Áp lực bên bán khá lớn, mua vào phải cẩn thận, về cuối vì bên bán bán hết, dẫn đến giá cả lên cao. Nên mua bán nhanh, giữ hàng lại không lợi."
G55-B49,Phong biến Cách (Động 2),55,49,2,"Giá cả khá cao, hai bên mua bán dần dần phát sinh biến đổi, không thích hợp nhập cuộc."
G55-B30,Phong biến Ly (Động 3),55,30,3,"Thị trường có đột biến, không thể nhập cuộc mù quáng, cẩn thận kẻo bị thua thiệt."
G55-B62,Phong biến Tiểu Quá (Động 4),55,62,4,"Bị mắc kẹt mà không giải quyết được. Về cuối giá cả dao động trong biên độ hẹp, không nên mua bán mới. Cần kịp thời điều chỉnh để thoát khỏi khó khăn, chú ý nắm chắc tình hình."
G55-B34,Phong biến Đại Tráng (Động 5),55,34,5,"Không nên hành động, cầu tài không được, thị trường có trở ngại, cảnh giác về cuối có đột biến. Về sau giá cả tăng lên."
G55-B51,Phong biến Chấn (Động 6),55,51,6,"Mua bán phải có đầu óc ứng biến, không nên giữ mãi ý nghĩ mua hay bán theo một chiều. Thị trường phát triển không ổn định, nên hành động phải cẩn thận. Nếu trong tay có chứng phiếu bị kẹt thì đây là thời cơ bán ra, mua bán mới sẽ không có lợi."
G37-B13,Gia Nhân biến Đồng Nhân (Động 1),37,13,1,"Hai bên mua bán tranh chấp cuối cùng bên mua chiếm thế thượng phong, vì thế nhập cuộc nên nghiên cứu cẩn thận để đề ra sách lược, cẩu thả thì sẽ bị mắc kẹt."
G37-B22,Gia Nhân biến Bí (Bôn) (Động 2),37,22,2,"Không nên bị một số hiện tượng mê hoặc, làm rõ nhân tố chủ yếu gây ảnh hưởng đến tình hình, không nên nhập cuộc vì không có lợi."
G37-B63,Gia Nhân biến Ký Tế (Động 3),37,63,3,"Sau khi nhập cuộc thu lợi phụ động, chỉ vì lòng tham lại nổi lên, cho nên không muốn bán ra, kết quả bị mắc kẹt."
G37-B53,Gia Nhân biến Tiệm (Động 4),37,53,4,"Mua bán tranh chấp, dần dần thế lực hai bên giảm yếu, bên bán mạnh hơn, nhập cuộc nên nắm chắc thời cơ, gặp cao bán ra sẽ có lợi, không nên giữ hàng lại."
G37-B9,Gia Nhân biến Tiểu Súc (Động 5),37,9,5,"Bên mua hoành hành, bên bán áp đảo trở lại, bên mua hơi thất thế, nhưng thị trường người mua nhiều hơn người bán, về cuối giá cả vẫn lên cao."
G37-B42,Gia Nhân biến Ích (Động 6),37,42,6,"Trong thị trường chứng khoán, những trường hợp gây cho mình lo lắng là bình thường, cần phải biết cách thích nghi với những biến đổi đột biến này, trước hết phải giữ được tình cảm ổn định, chỉ có ổn định mới có thể phân tích được tình hình biến đổi, từ đó có phương án hành động đúng. Trong tình hình hiện nay tốt nhất là không nên nhập cuộc, vì rủi ro rất lớn."
